City,State,Church,Pastor,Stat Year,Comm,Non Comm,Prof Child,Prof Adult,Trans Letter,Reaffirmation,Restored,Death,Trans,Removed From Roll,Discipline,Adult Bapt,Infant Bapt,Ruling Elders,Deacons,Family Units,Sunday School Attend,Small Group Attend,Est Morn Attend,Grades Included,Total Enrollment,Tithes & Offerings,Special Causes,Building Fund Offering,Other Contrib,Total Contrib,Other Income,Total Church Income,Administration,Discipleship Min.,Mission to N. America,Mission to the World,Covenant College,Covenant Seminary,Ridge Haven,Reformed University Ministries,PCA Office Building,Other,Presbytery Operation,Christian Education,Home Missions,Internat'l Missions,Other Presbytery Min,Local Ministries,Mercy Ministires,PCA Internat'l Missions,PCA Home Mission,Non-PCA Mission,PCA Schools,Non-PCA Schools,Total Benevolent Disbursements,Current Expenses,Building Fund,Total All Disbursements,Benevol Grand Total,Per Capita Giving
Abingdon,VA,Abingdon Presbyterian Church,John Dawson,2017,48,3,0,0,2,0,0,1,1,0,0,0,0,3,3,30,12,0,62,No Grades Included Reported,0,157591,0,0,6671,164262,5,164267,315,200,200,200,490,361,360,2625,0,0,1300,0,0,0,0,155,5684,9240,0,3300,0,1800,26230,152151,0,178381,0.147044808583874,3422.125
Somers,NY,Affirmation Presbyterian Church,William Spanjer,2017,36,4,0,1,0,0,0,0,0,0,0,1,0,2,1,17,8,0,28,No Grades Included Reported,0,67225,6866,0,0,74091,0,74091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,366,0,3000,0,2500,0,0,6866,64593,0,71459,0.096083068612771,2058.08333333333
Forest Hill,MD,Aisquith Presbyterian Church,John Edward Ceselsky,2017,130,0,2,0,2,0,0,4,4,18,0,0,1,4,4,62,10,0,0,No Grades Included Reported,0,308000,0,0,0,308000,0,308000,1000,1000,2000,650,550,550,0,700,0,0,1900,0,0,0,0,5750,0,0,0,0,0,3500,17600,0,0,17600,1.0,2369.23076923077
Alexandria,VA,Alexandria Presbyterian Church,Thomas G. Holliday,2017,525,203,18,8,13,40,0,3,12,47,0,5,30,8,10,294,150,0,475,No Grades Included Reported,0,1839037,0,0,0,1839037,27053,1866090,3267,3267,12132,43206,4666,4666,1866,6530,0,0,21600,0,0,0,0,9141,153397,0,4400,148800,0,0,416938,1424181,154832,1995951,0.2088919016549,3502.92761904762
Aliso Viejo,CA,Aliso Creek Church,Tom G. Gastil,2017,139,0,0,0,6,0,0,1,13,0,0,0,1,3,4,58,75,0,137,No Grades Included Reported,0,515611,26564,0,0,542175,1629,543804,500,600,1600,1000,293,125,0,250,0,0,550,0,0,0,0,0,26875,16865,7800,20700,0,0,77158,525570,0,602728,0.128014626830013,3900.53956834532
Fairfax,VA,New Hope Presbyterian Church,Paul David Wolfe,2017,97,33,3,0,6,1,0,0,12,0,0,0,2,7,2,46,0,0,0,No Grades Included Reported,0,426096,16673,0,0,442769,5394,448163,536,262,1633,2919,1098,752,286,1639,0,500,4273,0,0,0,0,0,6966,3000,2500,0,0,12500,38864,413484,0,452348,0.0859161530503064,4564.62886597938
Birmingham,AL,Altadena Valley Presbyterian Church,J. Kyle Parker,2017,483,82,0,3,28,5,0,1,5,0,0,2,5,11,11,260,248,0,350,PK,163,1586566,65722,0,3743,1656031,90241,1746272,2440,2440,9072,8372,4240,3492,1404,5340,0,0,5148,0,20004,0,0,20592,27817,58400,52400,201600,0,8200,430961,1229100,0,1660061,0.259605520520029,3428.63561076605
Americus,GA,St. Andrews Presbyterian Church,Randy Saye,2017,39,2,0,0,0,6,0,0,2,0,0,0,0,3,1,23,17,0,30,No Grades Included Reported,0,80000,16748,0,0,96748,36000,132748,0,0,600,1000,0,0,0,0,0,0,1265,0,0,0,0,13440,0,0,0,1000,0,0,17305,109000,0,126305,0.137009619571672,2480.71794871795
Andrews,SC,Andrews Presbyterian Church,Mark A. Horne,2017,40,2,0,0,0,0,0,2,0,0,0,0,1,5,5,26,15,0,32,No Grades Included Reported,0,98000,200,0,0,98200,0,98200,192,0,491,32,0,0,0,353,0,0,0,325,0,0,0,500,180,3000,0,0,250,1500,6823,96000,0,102823,0.0663567489763963,2455.0
Greer,SC,Antioch Presbyterian Church,Zachary Groff,2017,13,5,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,8,No Grades Included Reported,0,19862,0,0,3100,22962,7413,30375,500,0,0,600,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,100,0,1700,34772,0,36472,0.0466110989252029,1766.30769230769
